Однокональная СМО 

  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
-----------  --------------  --------------------  -------------  ---------------------  --------------------  --------------  -----------------  ---------------  ----------------  ---------------
          1           7.343                14.422          7.343                 7.343                21.765           14.422              0                    0                 0            7.343
          2           1.409                 5.692          8.752                21.765                27.4569          18.705             13.013                1                 0            0
          3          13.487                 5.687         22.239                27.4569               33.1442          10.905              5.218                2                 0            0
          4           1.036                 1.502         23.275                33.1442               34.6459          11.371              9.869                2                 1            0
          5           6.647                 0.271         29.922                34.6459               34.9165           4.994              4.724                3                 1            0
          6           0.95                  3.778         30.872                34.9165               38.6948           7.823              4.044                3                 2            0
          7           0.561                 0.642         31.433                38.6948               39.3368           7.904              7.262                3                 3            0
          8           0.109                 0.664         31.542                39.3368               40.0008           8.459              7.795                3                 4            0
          9           1.421                15.754         32.963                40.0008               55.7552          22.792              7.038                3                 5            0
         10          16.513                 3.947         49.476                55.7552               59.7019          10.226              6.279                9                 0            0
         11           4.65                  0.675         54.126                59.7019               60.3768           6.251              5.576                9                 1            0
         12           6.499                 9.342         60.625                60.625                69.967            9.342              0                   11                 0            0.923
         13           0.532                 1.022         61.157                69.967                70.9888           9.832              8.81                12                 0            0
         14           0.374                 6.244         61.531                70.9888               77.2324          15.701              9.458               12                 1            0
         15           4.792                 7.298         66.323                77.2324               84.5302          18.207             10.909               12                 2            0
         16           3.663                 4.428         69.986                84.5302               88.9579          18.972             14.544               13                 2            0
         17           6.212                 2.646         76.198                88.9579               91.6038          15.406             12.76                14                 2            0
         18           6.364                 7.363         82.562                91.6038               98.9668          16.405              9.042               15                 2            0
         19           8.493                 6.281         91.055                98.9668              105.248           14.193              7.912               17                 1            0
         20           1.583                 5.153         92.638               105.248               110.401           17.763             12.61                18                 1            0
         21           1.196                 0.667         93.834               110.401               111.067           17.233             16.567               18                 2            0
         22           1.342                11.601         95.176               111.067               122.668           27.492             15.891               18                 3            0
         23           0.53                  4.866         95.706               122.668               127.534           31.828             26.962               18                 4            0
         24           3.813                11.313         99.519               127.534               138.847           39.328             28.015               19                 4            0
         25           4.65                  3.668        104.169               138.847               142.515           38.346             34.678               19                 5            0
         26           1.811                 0.363        105.98                142.515               142.879           36.899             36.535               20                 5            0
         27           6.279                 7.403        112.259               142.879               150.282           38.023             30.62                22                 4            0
         28           1.665                 3.333        113.924               150.282               153.615           39.691             36.358               22                 5            0
         29           0.834                 3.149        114.758               153.615               156.764           42.006             38.857               22                 6            0
         30           7.569                 0.966        122.327               156.764               157.73            35.403             34.437               22                 7            0
         31           7.2                   6.89         129.527               157.73                164.619           35.092             28.203               24                 6            0
         32           1.525                 0.388        131.052               164.619               165.007           33.955             33.567               24                 7            0
         33           2.214                 4.61         133.266               165.007               169.617           36.351             31.741               24                 8            0
         34           0.848                15.081        134.114               169.617               184.698           50.584             35.503               24                 9            0
         35           5.942                 6.279        140.056               184.698               190.977           50.921             44.642               25                 9            0
         36          11.781                 5.891        151.837               190.977               196.869           45.032             39.14                28                 7            0
         37           8.529                 2.812        160.366               196.869               199.681           39.315             36.503               31                 5            0
         38           7.087                 8.635        167.453               199.681               208.317           40.864             32.228               33                 4            0
         39          11.771                21.394        179.224               208.317               229.711           50.487             29.093               34                 4            0
         40          12.562                 2.653        191.786               229.711               232.363           40.577             37.925               36                 3            0
         41           5.377                 3.173        197.163               232.363               235.536           38.373             35.2                 37                 3            0
         42           3.185                20.597        200.348               235.536               256.133           55.785             35.188               38                 3            0
         43           3.96                  1.733        204.308               256.133               257.867           53.559             51.825               38                 4            0
         44           2.646                 0.091        206.954               257.867               257.958           51.004             50.913               38                 5            0
         45           5.434                 3.391        212.388               257.958               261.349           48.961             45.57                39                 5            0
         46           2.933                 5.674        215.321               261.349               267.023           51.702             46.028               39                 6            0
         47           1.994                 9.633        217.315               267.023               276.656           59.341             49.708               39                 7            0
         48           2.12                  2.566        219.435               276.656               279.223           59.788             57.221               39                 8            0
         49           1.872                 0.728        221.307               279.223               279.951           58.644             57.916               39                 9            0
         50           8.652                17.859        229.959               279.951               297.811           67.852             49.992               40                 9            0
         51          19.057                 4.736        249.016               297.811               302.547           53.531             48.795               42                 8            0
         52          12.042                 0.679        261.058               302.547               303.226           42.168             41.489               45                 6            0
         53          15.388                 5.533        276.446               303.226               308.759           32.313             26.78                47                 5            0
         54           7.493                 1.515        283.939               308.759               310.274           26.335             24.82                50                 3            0
         55           2.292                 9.723        286.231               310.274               319.996           33.765             24.043               50                 4            0
         56          22.798                 4.222        309.029               319.996               324.219           15.19              10.967               54                 1            0
         57           8.202                12.854        317.231               324.219               337.072           19.841              6.988               55                 1            0
         58          18.689                 0.726        335.92                337.072               337.798            1.878              1.152               57                 0            0
         59           6.096                 4.485        342.016               342.016               346.501            4.485              0                   58                 0            4.944
         60           0.141                 0.895        342.157               346.501               347.396            5.239              4.344               59                 0            0
         61          11.007                 5.69         353.164               353.164               358.854            5.69               0                   60                 0            6.663
