
Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0
Ограничение посетителей = 100
 вариант B
1000 клиентов ограничение 

  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
-----------  --------------  --------------------  -------------  ---------------------  --------------------  --------------  -----------------  ---------------  ----------------  ---------------
          1           0.434                13.384          0.434                 0.434                13.818           13.384              0                    0                 0            0.434
          2           1.786                 5.768          2.22                 13.818                19.5859          17.366             11.598                1                 0            0
          3           4.354                 0.709          6.574                19.5859               20.2946          13.721             13.012                1                 1            0
          4           0.027                 0.495          6.601                20.2946               20.7896          14.189             13.694                1                 2            0
          5          14.032                 1.018         20.633                20.7896               21.8077           1.175              0.157                4                 0            0
          6           5.466                 6.512         26.099                26.099                32.611            6.512              0                    5                 0            5.309
          7           3.37                  3.843         29.469                32.611                36.454            6.985              3.142                6                 0            0
          8           0.913                 6.236         30.382                36.454                42.6904          12.308              6.072                6                 1            0
          9           7.177                 5.293         37.559                42.6904               47.9839          10.425              5.131                8                 0            0
         10           3.538                 0.669         41.097                47.9839               48.6533           7.556              6.887                8                 1            0
         11          19.344                 6.773         60.441                60.441                67.214            6.773              0                   10                 0           12.457
         12           3.219                 0.414         63.66                 67.214                67.6283           3.968              3.554               11                 0            0
         13           7.622                 0.253         71.282                71.282                71.535            0.253              0                   12                 0            4.068
         14           0.576                 8.686         71.858                71.858                80.544            8.686              0                   13                 0            0.576
         15           0.673                 0.473         72.531                80.544                81.0165           8.486              8.013               14                 0            0
         16           6.842                 3.313         79.373                81.0165               84.3294           4.956              1.644               14                 1            0
         17           2.146                 1.695         81.519                84.3294               86.024            4.505              2.81                16                 0            0
         18           0.078                 0.237         81.597                86.024                86.2606           4.664              4.427               16                 1            0
         19           1.195                10.328         82.792                86.2606               96.589           13.797              3.469               16                 2            0
         20           5.199                 6.558         87.991                96.589               103.147           15.156              8.598               19                 0            0
         21           6.473                 4.853         94.464               103.147               108               13.536              8.683               19                 1            0
         22           3.862                 0.925         98.326               108                   108.925           10.599              9.674               20                 1            0
         23           0.48                  1.403         98.806               108.925               110.329           11.523             10.119               20                 2            0
         24           1.733                 4.124        100.539               110.329               114.452           13.913              9.79                20                 3            0
         25           9.736                 0.531        110.275               114.452               114.983            4.708              4.177               23                 1            0
         26           6.582                 4.521        116.857               116.857               121.378            4.521              0                   25                 0            2.405
         27           8.066                 2.625        124.923               124.923               127.548            2.625              0                   26                 0            8.066
         28          14.712                14.783        139.635               139.635               154.418           14.783              0                   27                 0           14.712
         29           4.41                  6.819        144.045               154.418               161.237           17.192             10.373               28                 0            0
         30           3.863                 0.291        147.908               161.237               161.528           13.62              13.329               28                 1            0
         31           4.606                13.183        152.514               161.528               174.711           22.197              9.014               28                 2            0
         32           6.607                 2.52         159.121               174.711               177.232           18.111             15.59                29                 2            0
         33           7.105                 2.45         166.226               177.232               179.682           13.456             11.006               31                 1            0
         34           2.591                 0.499        168.817               179.682               180.181           11.364             10.865               31                 2            0
         35          15.164                 8.884        183.981               183.981               192.865            8.884              0                   34                 0            4.299
         36           3.638                 0.524        187.619               192.865               193.389            5.77               5.246               35                 0            0
         37           2.199                11.812        189.818               193.389               205.201           15.383              3.571               35                 1            0
         38           6.142                 1.913        195.96                205.201               207.114           11.154              9.241               37                 0            0
         39           5.408                24.228        201.368               207.114               231.341           29.973              5.746               37                 1            0
         40           6.329                 0.081        207.697               231.341               231.422           23.725             23.644               39                 0            0
         41           4.955                 4.963        212.652               231.422               236.385           23.733             18.77                39                 1            0
         42           0.785                 0.504        213.437               236.385               236.889           23.452             22.948               39                 2            0
         43           2.939                 1.89         216.376               236.889               238.779           22.403             20.513               39                 3            0
         44          15.38                  0.978        231.756               238.779               239.756            8                  7.023               41                 2            0
         45           4.764                 2.651        236.52                239.756               242.407            5.887              3.236               42                 2            0
         46           6.209                 1.24         242.729               242.729               243.969            1.24               0                   45                 0            2.973
         47          18.998                 0.951        261.727               261.727               262.678            0.951              0                   46                 0           18.998
         48          10.222                20.456        271.949               271.949               292.405           20.456              0                   47                 0           10.222
         49           8.56                  7.713        280.509               292.405               300.118           19.609             11.896               48                 0            0
         50           1.501                 2.334        282.01                300.118               302.452           20.442             18.108               48                 1            0
         51          10.037                 2.72         292.047               302.452               305.172           13.125             10.405               48                 2            0
         52           3.235                24.919        295.282               305.172               330.091           34.809              9.89                49                 2            0
         53           2.633                 6.081        297.915               330.091               336.172           38.257             32.176               49                 3            0
         54          11.67                  3.895        309.585               336.172               340.067           30.482             26.587               52                 1            0
         55           0.324                10.362        309.909               340.067               350.429           40.52              30.158               52                 2            0
         56          20.6                   3.316        330.509               350.429               353.745           23.236             19.92                53                 2            0
         57           4.416                 1.197        334.925               353.745               354.941           20.016             18.82                53                 3            0
         58           3.961                10.711        338.886               354.941               365.652           26.766             16.055               54                 3            0
         59           0.065                12.294        338.951               365.652               377.946           38.995             26.701               54                 4            0
         60          10.377                 1.19         349.328               377.946               379.136           29.808             28.618               55                 4            0
         61           0.831                 3.069        350.159               379.136               382.205           32.046             28.977               55                 5            0
         62           1.404                 3.531        351.563               382.205               385.735           34.172             30.642               56                 5            0
         63           7.393                 2.858        358.956               385.735               388.593           29.637             26.779               58                 4            0
         64           9.515                18.314        368.471               388.593               406.907           38.436             20.122               59                 4            0
         65           1.631                 0.896        370.102               406.907               407.803           37.701             36.805               59                 5            0
         66          12.248                 0.077        382.35                407.803               407.879           25.529             25.453               62                 3            0
         67           3.035                 5.778        385.385               407.879               413.658           28.273             22.494               62                 4            0
         68           9.183                 4.434        394.568               413.658               418.092           23.524             19.09                64                 3            0
         69           6.082                 3.701        400.65                418.092               421.792           21.142             17.442               64                 4            0
         70           6.73                  3.853        407.38                421.792               425.645           18.265             14.412               65                 4            0
         71          10.636                 3.737        418.016               425.645               429.382           11.366              7.629               68                 2            0
         72           2.933                 0.678        420.949               429.382               430.06             9.111              8.433               69                 2            0
         73           5.733                 1.047        426.682               430.06                431.107            4.425              3.378               71                 1            0
         74          16.006                 0.614        442.688               442.688               443.302            0.614              0                   73                 0           12.628
         75           1.648                 3.895        444.336               444.336               448.231            3.895              0                   74                 0            1.648
         76           2.213                19.446        446.549               448.231               467.677           21.128              1.682               75                 0            0
         77           0.45                  4.678        446.999               467.677               472.355           25.356             20.678               75                 1            0
         78           3.515                 0.127        450.514               472.355               472.482           21.968             21.841               76                 1            0
         79          18.506                 0.704        469.02                472.482               473.187            4.167              3.462               77                 1            0
         80          12.782                 1.596        481.802               481.802               483.398            1.596              0                   79                 0            9.32
         81           2.839                12.987        484.641               484.641               497.628           12.987              0                   80                 0            2.839
         82           0.226                14.78         484.867               497.628               512.408           27.541             12.761               81                 0            0
         83           2.976                 4.045        487.843               512.408               516.454           28.611             24.565               81                 1            0
         84           6.577                 4.355        494.42                516.454               520.809           26.389             22.034               81                 2            0
         85           3.437                10.47         497.857               520.809               531.279           33.422             22.952               82                 2            0
         86           4.824                 2.18         502.681               531.279               533.459           30.778             28.598               82                 3            0
         87           5.366                 4.028        508.047               533.459               537.487           29.44              25.412               82                 4            0
         88           3.036                 3.842        511.083               537.487               541.328           30.245             26.404               82                 5            0
         89           3.964                 0.521        515.047               541.328               541.85            26.803             26.281               83                 5            0
         90           9.345                 4.748        524.392               541.85                546.598           22.206             17.458               85                 4            0
         91           8.686                 5.19         533.078               546.598               551.788           18.71              13.52                86                 4            0
         92           4.402                 5.798        537.48                551.788               557.586           20.106             14.308               87                 4            0
         93           0.889                 3.682        538.369               557.586               561.269           22.9               19.217               88                 4            0
         94           0.853                 2.102        539.222               561.269               563.371           24.149             22.047               88                 5            0
         95           0.611                 5.079        539.833               563.371               568.45            28.617             23.538               88                 6            0
         96           2.611                 6.335        542.444               568.45                574.785           32.341             26.006               90                 5            0
         97           0.418                 8.269        542.862               574.785               583.054           40.192             31.923               90                 6            0
         98           2.427                 1.185        545.289               583.054               584.239           38.95              37.765               90                 7            0
         99           2.897                 1.606        548.186               584.239               585.845           37.659             36.053               91                 7            0
        100           6.575                13.662        554.761               585.845               599.507           44.746             31.084               92                 7            0
        101           0.628                 0.501        555.389               599.507               600.009           44.62              44.118               92                 8            0
        102           2.017                 2.255        557.406               600.009               602.264           44.858             42.603               92                 9            0
        103           0.004                12.212        557.41                602.264               614.476           57.066             44.854               92                10            0
        104          16.897                 3.653        574.307               614.476               618.129           43.822             40.169               96                 7            0
        105           1.598                 5.26         575.905               618.129               623.389           47.484             42.224               97                 7            0
        106           6.826                 8.436        582.731               623.389               631.826           49.095             40.658               97                 8            0
        107           3.934                 3.524        586.665               631.826               635.35            48.685             45.161              100                 6            0
        108           1.399                 5.044        588.064               635.35                640.394           52.33              47.286              100                 7            0
        109          16.469                23.738        604.533               640.394               664.132           59.599             35.861              103                 5            0
        110           0.675                 2.702        605.208               664.132               666.834           61.626             58.924              103                 6            0
        111           4.397                14.558        609.605               666.834               681.392           71.787             57.229              103                 7            0
        112           1.06                  4.739        610.665               681.392               686.131           75.466             70.727              103                 8            0
        113          11.81                  4.173        622.475               686.131               690.304           67.829             63.656              105                 7            0
        114           1.117                 5.136        623.592               690.304               695.439           71.847             66.712              106                 7            0
        115           5.337                 2.326        628.929               695.439               697.766           68.837             66.51               106                 8            0
        116           5.64                  3.928        634.569               697.766               701.693           67.124             63.197              107                 8            0
        117           8.119                 2.849        642.688               701.693               704.542           61.854             59.005              109                 7            0
        118          10.346                 1.9          653.034               704.542               706.443           53.409             51.508              109                 8            0
        119          11.816                 5.599        664.85                706.443               712.042           47.192             41.593              110                 8            0
        120           1.093                 8.117        665.943               712.042               720.159           54.216             46.099              110                 9            0
        121           2.138                 2.376        668.081               720.159               722.535           54.454             52.078              111                 9            0
        122           0.781                 8.259        668.862               722.535               730.793           61.931             53.673              111                10            0
        123           1.219                 1.34         670.081               730.793               732.133           62.052             60.712              111                11            0
        124           0.128                 1.682        670.209               732.133               733.815           63.606             61.924              111                12            0
        125           2.743                 1.181        672.952               733.815               734.996           62.044             60.863              111                13            0
        126           5.863                 8.145        678.815               734.996               743.141           64.326             56.181              111                14            0
        127           2.984                 0.021        681.799               743.141               743.162           61.363             61.342              112                14            0
        128           4.445                 8.543        686.244               743.162               751.705           65.461             56.918              113                14            0
        129           1.649                 4.846        687.893               751.705               756.55            68.657             63.812              113                15            0
        130           2.556                 0.23         690.449               756.55                756.78            66.331             66.101              114                15            0
        131           6.055                 0.005        696.504               756.78                756.785           60.281             60.276              115                15            0
        132           3.756                 1.264        700.26                756.785               758.049           57.789             56.525              116                15            0
        133           1.188                 5.881        701.448               758.049               763.931           62.483             56.601              116                16            0
        134           1.888                 0.513        703.336               763.931               764.444           61.108             60.595              117                16            0
        135          10.804                 2.884        714.14                764.444               767.327           53.187             50.304              120                14            0
        136          20.905                 5.987        735.045               767.327               773.314           38.269             32.282              126                 9            0
        137          10.095                 3.128        745.14                773.314               776.442           31.302             28.174              128                 8            0
        138           3.239                 3.466        748.379               776.442               779.908           31.529             28.063              128                 9            0
        139          20.924                 0.917        769.303               779.908               780.825           11.522             10.605              136                 2            0
        140          13.141                 1.097        782.444               782.444               783.541            1.097              0                  139                 0            2.536
        141           5.921                19.295        788.365               788.365               807.66            19.295              0                  140                 0            5.921
        142           7.971                17.531        796.336               807.66                825.191           28.855             11.324              141                 0            0
        143           2.846                 2.947        799.182               825.191               828.138           28.956             26.009              141                 1            0
        144           2.095                 3.727        801.277               828.138               831.865           30.588             26.861              141                 2            0
        145           2.715                 0.911        803.992               831.865               832.775           28.783             27.873              141                 3            0
        146           2.658                 3.153        806.65                832.775               835.929           29.279             26.125              141                 4            0
        147           7.749                 3.943        814.399               835.929               839.872           25.473             21.53               142                 4            0
        148          10.188                 8.882        824.587               839.872               848.753           24.166             15.285              142                 5            0
        149           3.159                 1.235        827.746               848.753               849.988           22.242             21.007              143                 5            0
        150           2.958                 3.223        830.704               849.988               853.211           22.507             19.284              144                 5            0
        151           2.911                 2.428        833.615               853.211               855.64            22.025             19.596              146                 4            0
        152           4.5                  10.42         838.115               855.64                866.059           27.944             17.525              147                 4            0
        153           7.614                18.489        845.729               866.059               884.548           38.819             20.33               148                 4            0
        154           7.404                 8.085        853.133               884.548               892.633           39.5               31.415              150                 3            0
        155           3.677                 1.348        856.81                892.633               893.981           37.171             35.823              152                 2            0
        156           5.547                 8.433        862.357               893.981               902.414           40.057             31.624              152                 3            0
        157          12.074                 0.521        874.431               902.414               902.935           28.504             27.983              153                 3            0
