Однокональная СМО 
 Входные данные 

Клиентов за час =  10
Время на обслуживание (интенсивность обслуживания) = 5
Интенсивность поступления =  6.0
Ограничение посетителей = 100
 вариант Г
 Ограничение по времени 10 часов
Ограничение по времени (мин) =  600
Пcледний клиент по времени =  96
  № клиента    Время поступ    Время обслуживания    Т кумулятив    Начало обслуживания    конец обслуживания    время в сист    время в очереди    № осбл. покуп    Длинна очереди    Время простоя
-----------  --------------  --------------------  -------------  ---------------------  --------------------  --------------  -----------------  ---------------  ----------------  ---------------
          1           5.876                 3.646          5.876                 5.876                 9.522            3.646              0                    0                 0            5.876
          2           3.885                 5.705          9.761                 9.761                15.466            5.705              0                    1                 0            3.885
          3           3.14                  6.413         12.901                15.466                21.8791           8.978              2.565                2                 0            0
          4           5.087                10.708         17.988                21.8791               32.5866          14.599              3.891                3                 0            0
          5           1.806                 0.127         19.794                32.5866               32.7133          12.919             12.793                3                 1            0
          6           0.285                18.37          20.079                32.7133               51.0836          31.005             12.634                3                 2            0
          7          18.226                 1.569         38.305                51.0836               52.6526          14.348             12.779                6                 0            0
          8           2.734                 1.415         41.039                52.6526               54.0674          13.028             11.614                6                 1            0
          9          14.269                10.211         55.308                55.308                65.519           10.211              0                    8                 0            2.655
         10           1.49                 12.849         56.798                65.519                78.3679          21.57               8.721                9                 0            0
         11          22.173                11.245         78.971                78.971                90.216           11.245              0                   10                 0           13.452
         12           7.844                 5.147         86.815                90.216                95.3627           8.548              3.401               11                 0            0
         13           7.189                 0.607         94.004                95.3627               95.9694           1.965              1.359               12                 0            0
         14          15.19                  6.204        109.194               109.194               115.398            6.204              0                   13                 0           13.831
         15          11.252                 6.2          120.446               120.446               126.646            6.2                0                   14                 0           11.252
         16           0.069                 2.736        120.515               126.646               129.382            8.867              6.131               15                 0            0
         17           5.056                 2.098        125.571               129.382               131.48             5.909              3.811               15                 1            0
         18           0.457                 7.085        126.028               131.48                138.564           12.536              5.452               15                 2            0
         19           6.621                 1.071        132.649               138.564               139.636            6.987              5.915               18                 0            0
         20          22.85                  5.232        155.499               155.499               160.731            5.232              0                   19                 0           16.935
         21           6.894                 0.592        162.393               162.393               162.985            0.592              0                   20                 0            6.894
         22           7.996                 1.325        170.389               170.389               171.714            1.325              0                   21                 0            7.996
         23           3.659                 4.642        174.048               174.048               178.69             4.642              0                   22                 0            3.659
         24           1.298                 9.887        175.346               178.69                188.577           13.231              3.344               23                 0            0
         25           5.897                 0.663        181.243               188.577               189.24             7.997              7.334               24                 0            0
         26          20.661                 7.052        201.904               201.904               208.956            7.052              0                   25                 0           13.327
         27           9.938                 5.828        211.842               211.842               217.67             5.828              0                   26                 0            9.938
         28           4.225                 1.305        216.067               217.67                218.975            2.908              1.603               27                 0            0
         29           6.574                 5.12         222.641               222.641               227.761            5.12               0                   28                 0            4.971
         30           6.843                 4.745        229.484               229.484               234.229            4.745              0                   29                 0            6.843
         31           3.207                 6.522        232.691               234.229               240.751            8.06               1.538               30                 0            0
         32           0.66                  0.446        233.351               240.751               241.197            7.846              7.4                 30                 1            0
         33           0.172                 8.7          233.523               241.197               249.897           16.374              7.674               30                 2            0
         34          10.543                 3.473        244.066               249.897               253.371            9.305              5.831               33                 0            0
         35           8.361                 0.666        252.427               253.371               254.037            1.61               0.944               34                 0            0
         36           8.747                 1.078        261.174               261.174               262.252            1.078              0                   35                 0            7.803
         37          17.365                 3.516        278.539               278.539               282.055            3.516              0                   36                 0           17.365
         38           6.028                 2.299        284.567               284.567               286.866            2.299              0                   37                 0            6.028
         39           1.079                 4.739        285.646               286.866               291.605            5.959              1.22                38                 0            0
         40          10.324                16.465        295.97                295.97                312.435           16.465              0                   39                 0            9.104
         41          21.65                  8.567        317.62                317.62                326.187            8.567              0                   40                 0           21.65
         42           8.137                 8.308        325.757               326.187               334.495            8.738              0.43                41                 0            0
         43           6.458                 2.395        332.215               334.495               336.89             4.675              2.28                42                 0            0
         44           8.165                 4.295        340.38                340.38                344.675            4.295              0                   43                 0            5.885
         45           3.691                 2.535        344.071               344.675               347.21             3.139              0.604               44                 0            0
         46           3.411                 0.327        347.482               347.482               347.809            0.327              0                   45                 0            2.807
         47           8.036                 5.509        355.518               355.518               361.027            5.509              0                   46                 0            8.036
         48           1.53                  8.887        357.048               361.027               369.914           12.866              3.979               47                 0            0
         49          13.961                 5.451        371.009               371.009               376.46             5.451              0                   48                 0            9.982
         50           6.073                 3.774        377.082               377.082               380.856            3.774              0                   49                 0            6.073
         51           0.363                 3.197        377.445               380.856               384.053            6.608              3.411               50                 0            0
         52           3.726                 0.762        381.171               384.053               384.815            3.644              2.882               51                 0            0
         53           3.048                 0.856        384.219               384.815               385.671            1.452              0.596               52                 0            0
         54          16.75                 19.69         400.969               400.969               420.659           19.69               0                   53                 0           16.154
         55           0.944                 6.586        401.913               420.659               427.245           25.332             18.746               54                 0            0
         56           5.541                 4.137        407.454               427.245               431.383           23.929             19.791               54                 1            0
