+--------------------------------+--------------------+
|        Параметр системы        |      Значение      |
+--------------------------------+--------------------+
| Коэф. загруженности работников | 0.7411755159633561 |
|     Средняя длина очереди      |        2.23        |
|  Максимальная длина ожидания   |         8          |
|     Средняя время ожидания     | 7.658891580995402  |
|    Средняя время пребывания    | 18.585212448073978 |
+--------------------------------+--------------------+
+-----------+--------------------+---------------------+---------------------+--------------------+---------------------+--------------------+---------------+
| № клиента |   Время прибытия   |   Время ожидания    | Начало обслуживания | Конец обслуживания | Время обслуживания  |  Время в системе   | Длина очереди |
+-----------+--------------------+---------------------+---------------------+--------------------+---------------------+--------------------+---------------+
|     1     | 1.6987822475378143 |         0.0         | 1.6987822475378143  | 4.506320291335365  |  2.807538043797551  | 2.807538043797551  |       0       |
|     2     | 5.891744680920885  |         0.0         |  5.891744680920885  | 11.935994820881305 |  6.04425013996042   |  6.04425013996042  |       0       |
|     4     | 16.35308440344145  |         0.0         |  16.35308440344145  | 18.694005975783995 | 2.3409215723425447  | 2.3409215723425447 |       1       |
|     5     | 16.707420062573625 | 1.9865859132103694  | 18.694005975783995  | 24.186073673071046 |  5.492067697287052  | 7.478653610497421  |       2       |
|     6     | 17.57648433476197  |  6.609589338309075  | 24.186073673071046  | 25.799664831352786 | 1.6135911582817393  | 8.223180496590814  |       3       |
|     3     | 15.377735947153226 |         0.0         | 15.377735947153226  | 29.749172295245117 |  14.37143634809189  | 14.37143634809189  |       0       |
|     7     | 20.23126946729767  |  5.568395364055117  | 25.799664831352786  | 34.27154031002732  |  8.471875478674534  | 14.040270842729651 |       3       |
|     9     | 40.04158693843846  |         0.0         |  40.04158693843846  | 49.143199876090435 |  9.101612937651971  | 9.101612937651971  |       1       |
|    10     | 41.94630208791529  |  7.196897788175143  | 49.143199876090435  | 53.380515483862276 |  4.237315607771841  | 11.434213395946983 |       2       |
|     8     | 34.186537178865436 |         0.0         | 34.186537178865436  | 54.70374799221611  | 20.517210813350673  | 20.517210813350673 |       1       |
|    11     | 51.55518118282922  | 1.8253343010330525  | 53.380515483862276  | 58.02131174897514  |  4.640796265112861  | 6.466130566145914  |       2       |
|    12     |  54.819145302471   |         0.0         |   54.819145302471   | 60.401223579814555 |  5.582078277343555  | 5.582078277343555  |       1       |
|    13     | 64.04478705931221  |         0.0         |  64.04478705931221  | 83.48291229278936  |  19.43812523347715  | 19.43812523347715  |       0       |
|    14     | 73.37344217731747  |         0.0         |  73.37344217731747  | 90.38909480108501  | 17.015652623767537  | 17.015652623767537 |       1       |
|    16     | 99.52674269838616  |         0.0         |  99.52674269838616  | 101.53818355773151 |  2.011440859345356  | 2.011440859345356  |       1       |
|    15     | 91.83744251908715  |         0.0         |  91.83744251908715  | 117.6570046955239  | 25.819562176436747  | 25.819562176436747 |       0       |
|    17     | 125.22836832655913 |         0.0         | 125.22836832655913  | 127.13001061300079 |  1.901642286441657  | 1.901642286441657  |       0       |
|    18     | 125.89352216220252 |         0.0         | 125.89352216220252  | 128.45621111819133 | 2.5626889559888184  | 2.5626889559888184 |       1       |
|    20     | 126.79144628731258 | 1.6647648308787524  | 128.45621111819133  | 131.45969614506348 | 3.0034850268721414  | 4.668249857750894  |       3       |
|    21     | 128.75449102269204 | 2.7052051223714386  | 131.45969614506348  | 153.34219527735877 | 21.882499132295294  | 24.587704254666733 |       2       |
|    19     | 126.65782631481098 | 0.47218429818981633 | 127.13001061300079  | 164.86247287651298 |  37.73246226351219  | 38.204646561702006 |       2       |
|    22     | 134.58773555202285 |  18.75445972533592  | 153.34219527735877  | 171.4926019311714  | 18.150406653812638  | 36.90486637914856  |       2       |
|    23     | 136.43687852298694 | 28.425594353526037  | 164.86247287651298  | 177.3543543490013  |  12.49188147248833  | 40.91747582601437  |       3       |
|    25     | 167.40388953831325 |  9.95046481068806   |  177.3543543490013  | 180.31819389579624 | 2.9638395467949294  | 12.91430435748299  |       3       |
|    24     | 153.51938536769146 |  17.97321656347995  |  171.4926019311714  | 190.25219230307488 |  18.75959037190347  | 36.73280693538342  |       3       |
|    26     | 173.96099273282118 |  6.357201162975059  | 180.31819389579624  | 198.96511232062903 |  18.64691842483279  | 25.00411958780785  |       3       |
|    28     | 195.62948032819813 |  3.335631992430905  | 198.96511232062903  | 200.57493923185672 | 1.6098269112276853  |  4.94545890365859  |       2       |
|    27     | 177.4291880052956  | 12.823004297779278  | 190.25219230307488  | 211.90249612370917 | 21.650303820634292  | 34.47330811841357  |       3       |
|    29     | 205.1409988777427  |         0.0         |  205.1409988777427  | 212.9696565035457  |  7.828657625803004  | 7.828657625803004  |       1       |
|    30     | 208.29328995585863 | 3.6092061678505445  | 211.90249612370917  | 217.19403627198372 |  5.291540148274549  | 8.900746316125094  |       2       |
|    31     | 222.87754398290627 |         0.0         | 222.87754398290627  | 231.9154687032031  |  9.037924720296814  | 9.037924720296814  |       0       |
|    32     | 225.40241748465442 |         0.0         | 225.40241748465442  | 235.32470234682984 |  9.922284862175417  | 9.922284862175417  |       1       |
|    33     | 235.06438942817562 |         0.0         | 235.06438942817562  | 253.73883635159493 |  18.67444692341931  | 18.67444692341931  |       1       |
|    34     | 253.12133034337157 |         0.0         | 253.12133034337157  |  259.394718112673  |  6.273387769301422  | 6.273387769301422  |       1       |
|    35     | 256.3837219992966  |         0.0         |  256.3837219992966  | 261.36724873630146 | 4.9835267370048655  | 4.9835267370048655 |       1       |
|    36     |  256.851987721545  |  2.542730391127975  |  259.394718112673   | 263.44524722832574 | 4.0505291156527505  | 6.593259506780726  |       2       |
|    37     | 262.5899454805807  |         0.0         |  262.5899454805807  | 264.1150104050361  |  1.525064924455421  | 1.525064924455421  |       1       |
|    38     | 262.8548303757019  | 0.5904168526238323  | 263.44524722832574  | 264.8602210780853  | 1.4149738497595763  | 2.0053907023834086 |       2       |
|    39     | 268.91406795230927 |         0.0         | 268.91406795230927  | 273.8086463385278  |  4.894578386218541  | 4.894578386218541  |       0       |
|    40     | 281.81093187528154 |         0.0         | 281.81093187528154  | 289.35338723943465 |  7.542455364153113  | 7.542455364153113  |       0       |
|    41     | 285.17450482237814 |         0.0         | 285.17450482237814  | 302.38420480395945 |  17.20969998158131  | 17.20969998158131  |       1       |
|    42     | 289.4345511467097  |         0.0         |  289.4345511467097  | 306.12063129286787 |  16.68608014615819  | 16.68608014615819  |       1       |
|    44     |  329.046304668547  |         0.0         |  329.046304668547   | 330.7292013542602  | 1.6828966857132173  | 1.6828966857132173 |       1       |
|    43     | 313.6145497312386  |         0.0         |  313.6145497312386  | 353.07260647072854 |  39.45805673948996  | 39.45805673948996  |       0       |
|    46     | 330.75108245758946 | 22.321524013139083  | 353.07260647072854  | 355.3325462199758  | 2.2599397492472804  | 24.581463762386363 |       2       |
|    45     | 329.6866950916953  | 1.0425062625649275  |  330.7292013542602  | 357.9548393355495  | 27.225637981289253  | 28.26814424385418  |       2       |
|    47     | 333.9374727662898  | 21.395073453686052  |  355.3325462199758  | 358.30277279202954 | 2.9702265720537184  | 24.36530002573977  |       3       |
|    49     | 355.9589610252636  | 2.3438117667659526  | 358.30277279202954  | 359.18606372123355 | 0.8832909292040085  | 3.227102695969961  |       3       |
|    48     | 336.4488332182562  | 21.506006117293282  |  357.9548393355495  | 364.2000723370305  |  6.24523300148104   | 27.751239118774322 |       4       |
|    50     | 376.5821092769635  |         0.0         |  376.5821092769635  | 395.4577947622825  | 18.875685485319025  | 18.875685485319025 |       0       |
|    51     | 387.40257587866654 |         0.0         | 387.40257587866654  | 398.8088633032655  | 11.406287424598986  | 11.406287424598986 |       1       |
|    52     | 396.4556848423308  |         0.0         |  396.4556848423308  |  412.504028868914  |  16.04834402658321  | 16.04834402658321  |       1       |
|    54     | 404.45796822715255 |  8.046060641761471  |  412.504028868914   | 420.40817133832957 |  7.904142469415547  | 15.950203111177018 |       2       |
|    55     | 406.1146795671497  | 14.293491771179845  | 420.40817133832957  | 430.4339674077038  | 10.025796069374223  | 24.31928784055407  |       3       |
|    56     | 406.88144247891955 | 23.552524928784237  |  430.4339674077038  | 439.05609033807076 |  8.62212293036697   | 32.17464785915121  |       4       |
|    53     | 403.44217800388407 |         0.0         | 403.44217800388407  | 439.19363025148857 | 35.751452247604504  | 35.751452247604504 |       1       |
|    57     | 412.0840511932473  |  26.97203914482344  | 439.05609033807076  | 457.28006493958026 | 18.223974601509497  | 45.19601374633294  |       5       |
|    59     | 420.78720345065693 | 36.492861488923324  | 457.28006493958026  | 460.4073733211869  | 3.1273083816066674  | 39.62016987052999  |       5       |
|    58     | 413.8272512177663  | 25.366379033722296  | 439.19363025148857  | 461.08448302029024 | 21.890852768801665  | 47.25723180252396  |       5       |
|    61     | 440.3407139825291  | 20.743769037761126  | 461.08448302029024  | 466.0633842083823  |  4.978901188092038  | 25.722670225853165 |       4       |
|    62     | 448.1334128299722  | 17.929971378410073  |  466.0633842083823  | 466.38903267646214 | 0.32564846807986214 | 18.255619846489935 |       5       |
|    60     | 433.23518782769094 | 27.172185493495988  |  460.4073733211869  | 472.3918855463838  | 11.984512225196852  | 39.15669771869284  |       5       |
|    64     | 471.0207221162941  | 1.3711634300896662  |  472.3918855463838  | 479.61969945063237 |  7.227813904248592  | 8.598977334338258  |       2       |
|    63     | 454.9482935940582  | 11.440739082403923  | 466.38903267646214  | 494.1412771660945  | 27.752244489632346  | 39.19298357203627  |       6       |
|    66     | 479.61482832702524 | 14.526448839069246  |  494.1412771660945  | 514.5561938874939  | 20.414916721399436  | 34.94136556046868  |       3       |
|    65     | 471.07664035604483 |  8.543059094587534  | 479.61969945063237  | 523.9039155406758  |  44.28421609004346  | 52.82727518463099  |       3       |
|    68     | 491.0926036052322  |  32.8113119354436   |  523.9039155406758  | 526.7015677151583  | 2.7976521744824367  | 35.608964109926035 |       4       |
|    67     | 488.93966070217346 | 25.616533185320463  |  514.5561938874939  | 530.2083437161336  | 15.652149828639722  | 41.268683013960185 |       3       |
|    69     | 506.2013425837022  | 20.500225131456034  |  526.7015677151583  |  535.76962013941   |  9.068052424251732  | 29.568277555707766 |       4       |
|    71     | 516.1925820249404  | 19.577038114469588  |   535.76962013941   | 546.3728287019944  | 10.603208562584427  | 30.180246677054015 |       5       |
|    70     | 514.5742764179219  |  15.63406729821179  |  530.2083437161336  | 547.4593761294939  | 17.251032413360235  | 32.885099711572025 |       4       |
|    72     | 516.3142057656388  |  30.05862293635562  |  546.3728287019944  |  553.363542800163  |  6.99071409816861   | 37.04933703452423  |       6       |
|    73     | 516.7812537736689  |  30.67812235582494  |  547.4593761294939  | 561.1516161281374  | 13.692239998643572  | 44.37036235446851  |       7       |
|    74     | 518.8082303388848  |  34.55531246127828  |  553.363542800163   | 562.4916946695788  |  9.128151869415774  | 43.68346433069405  |       8       |
|    76     | 540.9754059709996  |  21.51628869857916  |  562.4916946695788  | 562.5939552639268  | 0.10226059434796753 | 21.618549292927128 |       6       |
|    75     | 539.5369054723493  | 21.614710655788144  |  561.1516161281374  |  582.423595431956  |  21.27197930381851  | 42.886689959606656 |       5       |
|    77     | 571.4157943387393  |         0.0         |  571.4157943387393  | 590.2547445033521  |  18.83895016461281  | 18.83895016461281  |       1       |
|    78     | 575.0678946687345  |  7.355700763221421  |  582.423595431956   | 592.5771088688512  | 10.153513436895196  | 17.509214200116617 |       2       |
|    80     | 584.3634105124382  |  8.21369835641292   |  592.5771088688512  | 594.4469668022442  | 1.8698579333930638  | 10.083556289805983 |       3       |
|    81     | 585.9784526812865  |  8.468514120957707  |  594.4469668022442  | 598.9307599454448  |  4.483793143200614  | 12.952307264158321 |       4       |
|    79     | 578.8225706381405  | 11.432173865211553  |  590.2547445033521  | 603.4002041142323  | 13.145459610880266  | 24.57763347609182  |       3       |
|    82     | 590.0339345932734  |  8.89682535217139   |  598.9307599454448  | 607.1325506556997  |  8.20179071025484   | 17.09861606242623  |       5       |
|    83     | 595.6662759082767  |  7.733928205955635  |  603.4002041142323  | 609.4603587222028  |  6.060154607970503  | 13.794082813926138 |       3       |
